2D_X,2D_Y,3D_X,3D_Y,3D_Z
394,549,-0.44693765723224854,151.9728496352656,38.25466137621544
397,489,0.40411912926797877,168.51751936033938,20.72045848182768
396,506,0.14584602141539185,169.36174630857442,25.07962607166063
385,426,-2.8334415825048462,157.99017595959796,4.605450383014465
398,470,0.6622371184064284,166.71776983522778,15.875791377509891
399,445,0.9211030094521397,162.39174071163654,9.511166307681146
401,383,1.4602798957286134,148.9227002499176,-6.926422378231337
282,372,-31.702722793546656,142.55658308371233,-9.99897470980613
404,334,2.281478771267933,149.51313800872256,-20.345440705418742
405,308,2.5498030428718437,151.104765042349,-27.381212266506946
410,222,3.9516952575534487,145.63931067997288,-51.45757524129513
393,558,-0.7183020897847553,152.13511721193285,40.684445869939196
393,564,-0.7157998619763172,152.6480644526358,42.25253909430059
393,567,-0.7094187747443945,153.95616321057514,42.901231398297185
393,571,-0.7036988748634876,155.1287210612689,43.83193240595175
393,578,-0.7135154179712846,153.11636683700314,45.992986900146
392,587,-0.9860698272354577,152.90196317923665,48.46547497614321
392,597,-0.9849597374024799,153.10108187078185,51.15107339968756
392,616,-0.9899695466276627,152.20246391377063,56.452070141873556
397,498,0.4054124285357312,169.1361361012446,23.01716623347767
379,496,-4.2906151176783585,168.28115194909782,22.56320943046346
215,293,-52.536558002092924,125.80438519476988,-33.085885980519606
332,387,-17.86146825615795,140.55934809284565,-5.814725509006573
315,388,-22.54872046779672,141.81899204666732,-5.537688065403289
297,387,-27.532796237731933,142.40551969518523,-5.817941895156975
274,376,-34.111469373257066,140.51797796126763,-8.896178391673184
346,383,-14.012516527604532,138.63049100389148,-6.937180983521054
307,338,-24.69922789144087,143.10504406446745,-19.457613121505762
326,340,-19.387675589058198,143.55439931158287,-18.887006623336923
290,341,-29.473978894348885,142.54353910709267,-18.639627368698545
279,347,-32.58565041461251,142.00188049140843,-16.981420078086472
258,387,-39.307979567423175,133.2997369523714,-5.802077869588907
327,643,-19.229083751121934,141.2067279121691,65.77676321099844
275,367,-33.755682657049434,141.38640194646513,-11.406835352383736
203,373,-57.361534036733666,116.04168712776503,-9.932749366330572
238,372,-45.41708476765179,129.7058542990936,-10.110916920469663
311,464,-23.893935535693437,138.1382506674616,15.887862249348093
372,546,-6.491513003716976,149.0443029685261,37.7677885157278
374,564,-5.898300833229001,151.51789403816795,42.393911450220074
350,551,-12.669101264888866,144.87547711937933,39.62248160412461
337,556,-16.355347617947675,142.9639907640801,41.23644170605486
359,564,-10.078017720388221,148.27621107051715,42.79941167603926
347,565,-13.4512315720451,146.20690697097987,43.3344338640762
315,580,-22.650545718021228,140.09997393703594,48.309051273267684
382,488,-3.5130676607814926,167.8964282554963,20.5046293773374
381,470,-3.805104904055168,165.55681552532963,15.944964495368954
252,325,-40.26991823325443,140.56258871716838,-23.18139890034083
