2D_X,2D_Y,3D_X,3D_Y,3D_Z
398,500,1.3648848925731563,-141.1935689602223,-49.26241779294888
397,437,1.687859013427956,-154.06924047931318,-26.748126912205798
398,459,1.3568070357214557,-146.98932436322798,-34.61592932929284
383,386,6.649216888617372,-138.15935674421502,-9.377856191281982
397,420,1.6875830578101934,-154.20123681546931,-20.94922758135531
397,399,1.6958858442677436,-150.22981053623897,-13.831976994805006
397,352,1.7329830729731637,-132.48529672505316,2.7188863464616553
290,361,41.07044294993906,-116.1835569908477,-0.2177953677333342
397,315,1.7460856972926149,-126.21799034361163,16.192987172134465
397,294,1.7440795553380344,-127.17757721472071,23.69936775391836
397,230,1.7630524855630982,-118.10235962661761,47.69470209110004
398,508,1.3633975796820867,-142.26069627909288,-51.96971540164311
398,516,1.3622721295559574,-143.06819185237174,-54.68890698394671
398,520,1.3613288439900133,-143.74498676416152,-56.01934345067828
398,526,1.3638721153562745,-141.92022321203024,-58.28796613885333
398,533,1.3619226188283604,-143.3189611746149,-60.58891808360648
398,542,1.3604837136359405,-144.3513566102465,-63.611305645019826
398,553,1.3611351515283223,-143.883958542441,-67.4907991753686
398,572,1.3621657061903867,-143.14454920894997,-74.19974668680001
397,447,1.6898055621136907,-153.13815852943378,-30.197876395744387
382,449,7.105221768162168,-129.86855722379016,-31.926948538874015
235,314,65.45054114725203,-79.85327297145591,18.83120619866714
333,369,25.196004436332572,-117.88887678513936,-3.1747859272588643
318,371,30.665622672489754,-118.28043683252145,-3.9107354622780166
304,372,35.864223716577,-117.136036402385,-4.266626664958776
283,367,43.90121533501776,-113.00057357697938,-2.382905572888074
345,363,20.842690893410595,-116.83792137013495,-0.9622422114496487
313,331,32.32655657152006,-121.05746125171754,10.620130221337192
328,331,26.904861460880767,-120.31652272734289,10.647754571245365
298,335,37.84249710420812,-120.25459740132828,9.19212619054201
288,342,41.63401843990709,-118.37531388227762,6.696395449020713
270,379,49.102591353916466,-108.6143759065385,-6.800567409926608
336,602,23.353946630949437,-134.56280074113772,-85.95647277667558
284,359,43.34115064527106,-115.35745876612475,0.5315272945277147
225,381,68.86983587111793,-84.01138055638319,-7.48575117072016
253,371,56.060307840492996,-102.52713017081874,-3.762530889391785
318,436,30.367721126129258,-123.49361774981708,-27.504540800401386
377,498,8.711552507082086,-141.26049688587187,-48.55733929793894
380,517,7.653304523172681,-141.88547902535555,-55.146700205248386
356,506,16.141258864443223,-138.5553936455343,-51.585147935379645
343,515,20.845460678248656,-135.23984046684478,-55.052250373336406
365,519,12.942298386818218,-139.92405287440914,-56.02936502598797
353,523,17.265241368287743,-136.4551462083915,-57.76728346025815
323,546,28.426255230104466,-125.92245894048074,-67.07616476789386
383,438,6.471592690022652,-153.152652288431,-27.123219632782934
381,421,7.159395101420632,-152.79877000388888,-21.325728393401942
264,326,50.82564943766823,-114.02209937561338,12.726566881370765
350,393,18.81011379048407,-122.52761057944474,-11.934498213959175
345,439,20.52794071844737,-125.04988812237036,-28.53211522862215
344,431,20.88332237976421,-125.19750834505419,-25.63819117399693
274,438,46.96428867975994,-115.99330966516095,-28.508628339725284
382,402,6.8698011435504105,-148.63646644790367,-14.882194125266798
299,303,37.4260325242906,-120.99311570304212,20.81367879472981
279,312,44.95070105148642,-118.08431799880373,17.684915015901375
250,283,57.29210454601627,-101.55821440218801,29.467760457242115
365,311,13.372320401281415,-122.29347543308597,17.83531675141756
341,335,22.222291848667844,-118.97482056563001,9.236272616799459
311,531,32.95350143502057,-122.68437798583795,-61.99873123364755
234,540,65.37637713041217,-83.8885141044268,-69.46793973315624
357,448,15.777765058412344,-138.94793983236468,-31.16738600262958
370,453,11.204840518902445,-139.13828040518575,-32.91558651468974
329,531,26.157623142278897,-128.05319646053442,-61.45061526699548
337,530,23.23988412130768,-129.0859687392358,-60.98684708368183
270,303,48.36819146898626,-116.72087128626765,21.05632293509116
345,448,20.55145361938543,-124.43642647528941,-31.809544952158028
327,301,27.141933158505935,-122.82024553230121,21.43529877930255
324,289,28.16821799691248,-123.98718473189672,25.709993052997092
311,241,33.5526970747601,-113.0233680349844,44.17678519485747
260,293,52.66404971684693,-110.30049546539851,25.135181900670993
319,264,30.15803664049729,-120.79121535289346,35.02544860038685
255,321,54.395057932986276,-111.54839919460221,14.680170131335442
244,319,59.347967363666804,-103.48271039692736,15.789434921037808
378,508,8.357915314580149,-141.50779732677591,-52.034513126694755
361,514,14.361049178053726,-139.3485028223144,-54.32742039675434
348,519,19.0476446695563,-136.00172697748172,-56.39700444237957
361,451,14.353223780482645,-139.63643201255627,-32.18985165306044
333,531,24.670673742981442,-129.14015502925793,-61.33964497634128
340,532,22.130835692614223,-129.90052460936033,-61.61977922379357
339,529,22.455951050442497,-130.66851543752352,-60.4691567497797
366,440,12.481031616085557,-144.58728117114083,-28.137616453047208
357,523,15.826961540569139,-137.30618053153324,-57.6851437894996
368,521,11.87667104566639,-140.5202870340123,-56.67420321130885
382,520,6.943994080584669,-142.7217497164122,-56.11596447994316
376,572,9.048301360292589,-142.04356814553853,-74.34360575059422
377,552,8.669140155143998,-143.9066100428451,-67.14013760921338
378,541,8.322322418476784,-143.82938205227242,-63.32054103207021
380,532,7.641416763967923,-142.73841001813003,-60.30018130026549
381,526,7.354099727172062,-138.09371815141793,-58.66529049548647
355,528,16.62314568415279,-134.40494192457987,-59.738280145328254
352,530,17.665076257648472,-135.06081847032658,-60.38102362119032
348,535,19.025626179027388,-136.6093414236571,-61.98944541018516
344,541,20.432307624346368,-136.75454831209623,-64.09213120633407
329,496,26.24858526170174,-126.21477062804547,-49.02672751702289
222,459,70.0000226059558,-84.32608562619885,-37.86923761013165
397,452,1.6925481996405742,-151.82628777322958,-31.96742818086838
347,529,19.480389814234048,-133.85645041874562,-60.1481357738639
344,530,20.504897057890684,-134.89447838183554,-60.397889773963406
376,460,9.14409684215084,-136.31590225848925,-35.523356478277684
350,459,18.71850838120794,-125.15663733988231,-35.74942422865623
373,457,10.261103470506512,-133.2794963817865,-34.61689197994862
334,404,24.64428662118185,-121.92386831543547,-15.934605540853426
309,416,33.78569476195154,-121.00323120165513,-20.31466711610784
341,440,21.971972245861778,-125.06299014951003,-28.89275104255354
274,258,47.67897532315042,-107.85397300281215,38.3505923362317
283,274,43.79346117330179,-114.32214939240407,31.88249512969403
293,292,39.64180985044017,-120.56450710240836,24.84497329263678
