2D_X,2D_Y,3D_X,3D_Y,3D_Z
339,491,26.099408662853858,-110.31662764838381,-57.61433282144602
338,480,26.379585447469914,-112.26963908381617,-53.474203942856875
268,467,52.600700380674056,-103.60291039378762,-49.25089645522375
372,463,13.899960573350928,-118.97722799280507,-46.93289501549704
287,322,45.2251117713945,-108.17536359227188,4.089455064884746
268,328,52.84059665304649,-100.99499522619908,2.1758625246854315
242,279,66.14202797574157,-67.80903317369359,22.797424025850958
353,340,20.974324023910444,-110.96554469790942,-2.5859986761349703
334,361,27.913704926212773,-110.50144245923468,-10.224647510010069
309,558,38.21114014227327,-91.7888832951187,-84.27996279434299
247,528,64.01918414544319,-69.23401254045075,-75.21136503881749
350,500,22.12598068056278,-109.26265200109833,-60.980200476487
363,507,17.30409841974715,-112.09624685463962,-63.29536047013272
325,561,32.07398351838698,-93.65669323760483,-85.18263708527742
332,561,29.37432738732281,-95.05940942581833,-85.01010469977123
260,315,57.100812870445004,-87.7545621795598,7.640855339418536
339,496,26.157802563676103,-108.94296039731671,-59.54386582744749
314,325,35.09197791182202,-112.34250691002819,2.8185133261803372
311,311,36.13903010798347,-113.02598006759877,7.8675709963923275
298,245,41.60294581868128,-102.48610473486826,32.828499651957046
251,298,61.621052114323426,-77.18296299750932,14.742909038268433
306,279,38.284657252428,-107.95363931829104,19.84597172136705
246,330,63.945635916249365,-73.5830733054778,2.4748509790710287
238,320,68.34520061833297,-62.260069361648334,6.885384653185266
372,563,14.008051640131,-113.43766298372338,-83.47437054958078
356,563,19.934653210112845,-109.24845183409889,-83.99547715657033
344,562,24.511261456970335,-104.30384746849381,-84.2417995521157
354,503,20.646274799968243,-109.8407162527659,-62.02834541891297
329,561,30.45421175514756,-95.98286162336854,-84.8965212023517
336,567,27.91392317330469,-94.15441887185875,-87.3763517995897
335,561,28.19740233290768,-96.19303574974003,-84.87067004037094
358,498,19.161523639417574,-110.70126520139445,-60.135824967172866
352,564,21.466564100379156,-107.13497345385917,-84.62515464037565
363,567,17.379962592197387,-109.15400145573551,-85.46870419925403
376,569,12.572812319720828,-112.582773918209,-85.75859295548166
373,608,13.819518510512612,-104.19796323101139,-101.220767805973
373,597,13.778593959702187,-106.37298720751664,-96.84162036512053
374,588,13.405864752127432,-106.67221521349836,-93.49341751244532
375,580,13.055124799115777,-105.73322152369235,-90.68455325477161
376,574,12.612688232865603,-110.1985705820806,-87.88834700754666
350,568,22.52607322230501,-97.7802078180033,-87.2885194600897
348,570,23.23518557873184,-98.81446425835418,-87.90141176002123
344,574,24.77737113752347,-97.48491266248118,-89.56728959160628
342,578,25.534344579205474,-97.23823222260853,-91.09455918338938
325,537,31.61418004215892,-102.45410416990705,-75.21964141739019
229,445,72.56955424154303,-56.87334534078104,-43.09782921055697
388,513,8.143126777844778,-121.42273359063188,-64.64010068499725
343,565,24.841263342815406,-105.27931742478813,-85.22534727557097
340,566,25.90525628089039,-106.24113681153221,-85.47176301974882
369,515,15.083415291279213,-113.9833873109784,-66.03029248200014
344,506,24.360136518179914,-108.17635260634722,-63.263940929207635
366,511,16.19117067307112,-113.0657109850988,-64.66317401025128
328,440,30.049290673462334,-111.51783082333759,-38.97534882298268
303,450,39.17417405323977,-111.04698815367067,-42.634062963149354
336,486,27.139633809208846,-111.51511803286121,-55.70676337344033
263,258,55.94195360656013,-87.94322815041073,29.30031496621651
272,283,51.73259686868657,-96.77727583082878,19.171685432360285
281,308,47.63033427533689,-105.65616044441708,9.34847780893589
336,587,27.83208464870639,-95.98935819972928,-94.63385746639584
348,317,22.581757175105885,-116.84624246129567,5.511841504161996
344,280,23.996632638236896,-117.49096774515715,18.785222689157447
338,239,26.331196874443165,-113.38957975663038,33.94303268237126
284,395,46.94082385824738,-100.5358919855596,-22.688205520406015
248,409,61.28777125041014,-91.30828638011963,-28.0450070008198
346,390,23.73168550410107,-105.42198340394941,-20.81260153501938
262,365,55.758815708112415,-93.8005065369889,-11.455418926562025
353,422,20.9930170898485,-110.39482012517237,-32.45769615989829
348,487,22.80252903619258,-110.75390057582615,-56.12486117400248
233,418,69.52022356189079,-69.26498471986315,-31.959868397050663
258,423,56.609979552888326,-100.40049818199861,-33.09034628198718
278,431,48.614577909191866,-107.05793728977494,-35.84637059951305
307,430,37.779723770062304,-110.09417927390871,-35.38326750785892
328,423,30.180361412982055,-108.90556634430322,-32.86215731811757
343,416,24.73857655935424,-107.86445456011222,-30.32621280119359
373,402,13.711836342990336,-109.92096547697247,-25.17337833835097
235,454,69.94174013204113,-58.760533997351104,-46.62265153368966
251,360,61.11918698570208,-82.016272916748,-9.373875848346367
380,510,11.053484814878335,-117.41914519407953,-63.91978755484749
344,450,24.172709309396854,-112.97908625702871,-42.54587149296666
